transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
5956,21,10,6/20/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,34115
10250,44,10,7/13/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,39427
14899,69,10,8/9/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859
4565,5,10,8/26/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,38258
18946,53,10,11/17/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172
16095,0,10,11/27/2017,0,Approved,OHM Cycles,Standard,medium,medium,2064.08,556.0469512,38199.77655
6004,28,11,4/2/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455
16846,85,11,6/2/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218
14370,10,11,7/9/2017,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
10444,30,11,8/2/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,33552
9240,10,11,10/30/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
18879,4,11,11/14/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573
6741,72,12,2/12/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
12242,91,12,7/23/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
5985,39,12,8/21/2017,0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336
13818,44,12,8/21/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
6705,72,12,9/4/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
19219,28,12,9/16/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,33455
14250,34,12,10/24/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698
17763,92,13,1/6/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146
8905,66,13,2/16/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,35378
15101,49,13,3/1/2017,1,Approved,Solex,Standard,medium,large,1061.56,733.58,36146
19988,0,13,4/5/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42105
11839,9,13,8/2/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527
13486,17,13,11/17/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,37539
17639,0,13,12/3/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,41922
16253,68,14,5/11/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410
8486,0,14,8/16/2017,1,Approved,OHM Cycles,Mountain,low,medium,1084.18,556.0469512,38199.77655
19381,23,14,10/27/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244
6044,56,14,11/13/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
17528,2,15,1/20/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
434,67,15,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
11788,33,15,6/7/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
7896,26,15,7/30/2017,0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115
10707,41,15,9/20/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,35560
17963,81,15,11/25/2017,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429
14760,96,16,2/12/2017,0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,40336
5083,94,16,5/10/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39915
17935,99,16,7/31/2017,0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,33364
1405,3,16,8/17/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37220
13585,68,16,9/22/2017,1,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,42172
1404,62,17,3/14/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,33879
10775,1,17,5/1/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38573
12747,70,17,10/11/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,36668
5316,78,17,11/14/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42218
17135,49,17,12/30/2017,0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,35707
7092,97,18,3/25/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458
3777,11,18,5/11/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298
8622,94,18,5/16/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
11922,10,18,6/24/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701
11227,40,18,7/5/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
3506,87,18,7/15/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667
17282,16,18,8/18/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
4664,7,19,1/31/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
14850,87,19,3/25/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410
8866,36,19,9/19/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
18030,3,20,6/11/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37499
6657,4,20,11/1/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,37698
14766,48,20,11/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,42688
11330,94,20,11/29/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427
14115,25,21,2/12/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,36334
2932,37,21,8/17/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
4778,3,21,10/22/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
19616,16,21,11/17/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34165
8915,72,21,12/24/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922
17002,64,22,1/6/2017,1,Cancelled,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
16626,100,22,3/10/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364
118,20,22,3/21/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
4601,65,22,5/29/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
3504,38,22,7/16/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
3480,32,22,9/18/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
8207,53,22,9/19/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
14956,45,22,9/24/2017,1,Approved,Solex,Standard,medium,medium,441.49,84.99,34071
18219,0,23,3/27/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458
7695,0,23,4/2/2017,1,Approved,Solex,Standard,medium,large,2037.77,556.0469512,38199.77655
17698,98,23,5/16/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,34170
7951,19,23,8/3/2017,1,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,39298
7429,54,23,10/6/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42710
15587,77,23,10/9/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,41848
5598,85,23,12/20/2017,0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,42226
15926,2,24,1/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41167
7610,0,24,5/11/2017,0,Approved,Solex,Standard,high,medium,1193.44,556.0469512,38199.77655
15874,11,24,5/13/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39880
19263,76,24,10/5/2017,1,Approved,WeareA2B,Standard,low,medium,642.31,513.85,40553
14099,89,24,10/12/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,38482
19078,40,24,10/31/2017,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39526
9249,52,24,11/13/2017,1,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,39915
1783,53,24,12/13/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35707
16026,22,25,2/8/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,42696
2354,53,25,3/4/2017,1,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172
11765,6,25,3/8/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,38258
15291,28,25,4/1/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,39031
6552,54,25,4/15/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,42295
4309,39,25,5/23/2017,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991
10224,59,25,7/10/2017,0,Approved,Solex,Standard,medium,large,1061.56,733.58,36146
5770,41,25,9/4/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,39526
9193,6,25,9/17/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838
7196,18,25,11/23/2017,0,Approved,Solex,Standard,medium,medium,575.27,431.45,40670
19252,67,25,12/1/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,37499
17826,78,25,12/25/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,35455
7674,80,26,4/2/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35667
3749,96,26,4/15/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,38002
7949,0,26,9/8/2017,0,Approved,WeareA2B,Standard,medium,small,1697.27,556.0469512,38199.77655
1275,97,27,4/8/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,42458
5662,92,27,5/28/2017,1,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833
5970,15,27,6/18/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,41345
849,57,27,7/18/2017,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,42145
13771,79,27,7/23/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,35455
5053,45,27,7/25/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,38991
11751,28,27,8/9/2017,0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696
7775,72,28,1/23/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,41922
8139,70,28,1/31/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,34996
11105,26,28,4/20/2017,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,33888
13007,82,28,7/16/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,38339
8422,19,28,7/21/2017,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244
7048,63,28,10/8/2017,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879
10676,53,29,1/4/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
19532,46,29,1/25/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
1898,80,29,3/28/2017,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455
19016,80,29,4/10/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455
7093,84,29,8/22/2017,0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339
16431,44,29,8/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
661,87,29,9/16/2017,0,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667
7691,65,29,10/12/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
14982,38,29,12/8/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
3214,41,30,4/2/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,41064
1739,3,30,6/16/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784
8164,74,30,12/19/2017,1,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,33429
4321,99,31,3/21/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,41064
420,97,31,5/25/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,41701
11652,22,31,7/15/2017,1,Approved,Solex,Standard,medium,medium,575.27,431.45,42404
14858,0,31,10/2/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,38573
15069,43,32,1/14/2017,0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498
99,95,32,3/26/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
4734,21,32,4/12/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,35160
15922,8,32,5/5/2017,0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649
10210,97,32,5/9/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,42458
15346,94,32,6/1/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
8735,25,32,8/14/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
6156,99,33,3/20/2017,1,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556
3731,54,33,5/30/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823
7024,18,33,7/29/2017,1,Cancelled,Solex,Standard,medium,medium,575.27,431.45,34165
6231,7,33,9/12/2017,0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,42560
7443,48,33,9/17/2017,1,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,39915
11789,20,33,9/28/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,34165
5415,44,33,11/22/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37220
9044,12,34,2/13/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
16935,0,34,2/14/2017,0,Approved,WeareA2B,Touring,medium,medium,1034.17,556.0469512,38199.77655
2638,83,34,4/7/2017,0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533
17808,96,34,4/10/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539
9792,60,34,6/25/2017,1,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779
1039,8,34,7/1/2017,1,Approved,Solex,Road,medium,small,1703.52,1516.13,40649
12083,13,34,7/23/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
1107,15,34,8/22/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693
19291,65,34,9/19/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
15032,15,35,3/28/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,35667
3417,70,35,3/30/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,40553
5637,98,35,6/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42710
17891,27,35,9/29/2017,0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,35052
1418,22,36,4/8/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
8348,47,36,7/20/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
13475,36,37,3/5/2017,1,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
6664,86,37,5/1/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698
10824,0,37,5/7/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
5998,0,37,7/5/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
231,46,37,8/12/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
9874,99,37,9/12/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
3748,14,37,10/9/2017,0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
16239,69,37,11/9/2017,1,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
14725,38,37,12/23/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
14512,2,38,1/23/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
9816,13,38,8/13/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
9453,60,38,8/22/2017,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,40779
7384,46,38,11/10/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
4659,97,39,1/19/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,42458
5119,40,39,2/7/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
12103,49,39,2/9/2017,0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064
12174,34,39,5/29/2017,0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,37698
10562,46,39,8/4/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
16084,70,39,8/16/2017,1,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105
2850,37,39,8/28/2017,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
6593,27,39,9/16/2017,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
3561,30,39,9/23/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,33552
17701,21,39,10/6/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,35160
18076,38,39,11/24/2017,0,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618
2557,69,39,11/26/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
10973,22,40,1/24/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
10129,35,40,4/21/2017,0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
327,1,40,5/9/2017,1,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
4213,21,40,7/26/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,35160
15165,54,40,11/7/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
836,46,40,12/16/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,39427
15262,1,41,1/24/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
5910,25,41,2/22/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
1677,82,41,4/15/2017,1,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226
9750,62,41,4/18/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
14571,57,41,7/9/2017,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259
3342,67,41,8/3/2017,0,Cancelled,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
18512,91,41,11/14/2017,1,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
16604,97,41,11/29/2017,1,Approved,Solex,Standard,medium,large,202.62,151.96,42458
16571,65,41,12/1/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145
4762,81,42,2/1/2017,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429
10016,41,42,6/3/2017,0,Approved,Solex,Road,medium,medium,416.98,312.74,35560
9522,98,42,8/17/2017,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002
13493,5,42,9/10/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
896,53,43,1/4/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470
16718,19,43,1/18/2017,0,Approved,OHM Cycles,Road,high,large,12.01,7.21,39880
17162,56,43,2/7/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
1672,72,43,7/9/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
7889,11,43,7/13/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298
12318,57,43,8/2/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259
10486,41,43,8/14/2017,0,Approved,Solex,Road,medium,medium,416.98,312.74,35560
17478,72,43,10/10/2017,0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
963,52,43,10/30/2017,1,Approved,OHM Cycles,Road,medium,medium,1280.28,829.51,37220
11825,3,44,4/17/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
6259,73,44,4/28/2017,1,Approved,Solex,Standard,medium,medium,1945.43,333.18,38193
2120,98,44,5/24/2017,0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002
11249,4,44,9/4/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573
6265,45,44,9/29/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,39427
3788,36,44,11/24/2017,1,Approved,Solex,Standard,low,medium,945.04,507.58,40618
13255,81,44,11/25/2017,0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,41533
7322,20,45,7/9/2017,1,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303
9567,2,45,8/19/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
19710,93,45,11/17/2017,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833
11710,53,46,3/15/2017,1,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,39915
655,8,46,5/12/2017,0,Approved,Solex,Road,medium,small,1703.52,1516.13,38693
18667,23,46,7/25/2017,0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42696
19545,94,46,10/3/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
2601,91,46,11/7/2017,1,Approved,Solex,Standard,medium,medium,100.35,75.26,36833
5080,55,47,1/17/2017,0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823
10277,27,47,3/10/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
14063,95,47,3/15/2017,1,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
4109,43,47,7/15/2017,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498
